id,landslide_type,trigger,fatality_count,injuries,location_accuracy(km),landslide_size,distance,population,latitude,longitude
3177,5,10,11,4,1,0,2.12825,6523,41.5585,-73.402
490,15,20,0,0,0,0,215.44888,0,0.1115,113.9171
6760,5,20,10,3,1,0,199.44893,8987,52.3545,-127.698
2494,35,10,1,0,1,0,178.23706,33430,50.7053,-127.5062
6415,5,10,0,0,15,-1,176.02202,14708,53.3319,-132.4149
2493,5,10,0,0,5,0,166.44009,33430,50.4335,-127.4846
5194,15,30,0,0,5,1,151.72018,1258,61.978,-143.168
4066,15,10,3,0,5,0,146.31062,33430,50.5854,-127.0961
2505,5,10,5,1,25,-1,136.65541,33430,50.9975,-126.4039
945,15,10,2,0,25,0,131.60974,0,1.3542,116.3816
853,15,20,4,1,50,0,127.97819,47735,0.7089,107.7503
4397,5,10,0,0,15,0,127.1628,1547,60.0484,-130.9916
4073,15,10,0,0,50,1,124.84253,0,1.1346,97.5239
5751,15,10,0,0,200,1,123.43371,0,-11.6953,-71.9165
5874,15,0,0,0,1,2,120.43866,1713,58.5624,-137.0834
5624,15,0,0,0,5,-1,119.96639,4163,50.2405,-57.5886
5671,15,0,0,0,5,-1,119.96639,4163,50.2405,-57.5886
62,15,20,0,0,1,-1,119.78675,4163,50.239,-57.5866
678,35,10,0,0,25,1,115.14342,90894,25.606,96.275
6656,55,10,0,0,5,0,112.91296,90894,25.6172,96.3005
2084,15,10,0,0,25,0,111.31006,90894,25.6167,96.3167
6124,15,20,0,100,5,1,111.28858,90894,25.6157,96.3167
6108,5,20,0,0,15,-1,110.85653,1026,49.9747,-94.3946
3622,15,10,0,0,0,1,110.73707,27520,21,99
6642,45,40,6,2,0,0,109.81578,1187,-43.5586,170.1794
6639,35,0,0,0,0,1,109.59417,1187,-43.5611,170.1796
6641,45,40,0,0,0,-1,109.59034,1187,-43.5606,170.1806
6640,45,40,4,0,0,-1,108.91108,1187,-43.5698,170.1797
423,15,50,7,2,10,2,106.2834,1187,-43.7015,170.0645
6643,45,10,2,0,1,0,104.48699,1187,-43.643,170.159
2726,15,10,2,1,50,0,104.35225,77366,-19.0587,178.2123
4453,15,10,2,0,15,1,100.58319,0,-1.601,123.5476
4378,15,10,0,0,50,0,98.40115,0,28.8254,96.1517
4798,15,20,0,0,0,0,98.33608,0,28.8254,96.1509
5616,15,20,0,0,10,0,96.83548,705,-16.4724,168.2362
2552,5,10,2,0,15,0,96.70239,3322,1.8257,113.8995
6780,5,20,2,0,5,-1,96.07163,2471,51.6446,-120.0755
4557,15,10,0,0,50,0,95.0457,25000,33.303,77.8876
2591,15,60,0,0,15,1,93.5301,0,-1.8667,121.5
137,15,20,3,0,50,1,93.15652,0,-1.824,121.5179
134,15,20,2,0,50,0,86.89138,10815,38,73
4904,5,20,6,1,25,0,85.07166,3907,52.9903,-119.3106
4288,15,10,0,0,1,0,84.55444,14596,-16.7873,177.5073
6651,15,0,2,0,1,1,84.36572,1001,65.0216,-16.6849
2727,25,10,6,0,15,-1,83.92719,8360,-17.3137,179.4104
4497,15,10,0,0,5,0,83.81164,1495,32.2278,78.071
2047,15,10,13,5,50,0,82.91571,1495,32.219,78.072
5157,5,10,5,0,25,0,82.39467,0,35.9672,109.0559
3268,15,10,0,0,5,0,82.22631,5985,-39.0468,146.3552
4215,15,10,2,0,10,0,80.51285,228212,3.7122,114.1991
5814,15,10,1,0,10,0,80.43471,228212,3.7944,113.6308
5437,15,10,0,0,5,1,80.32492,33430,50.6736,-125.712
623,5,10,0,0,10,-1,79.77706,3907,53.03,-119.22
4302,15,10,0,0,5,0,78.0422,27949,-16.6872,178.7081
6134,5,20,0,0,5,-1,76.97209,2624,65.9794,-21.4541
4107,15,10,0,0,50,0,76.30415,15771,2.5871,112.5473
5491,15,10,22,0,1,0,74.22658,4428,-44.0527,169.38
5490,15,10,0,0,1,0,73.65023,4428,-44.0582,169.3808
6231,15,0,0,0,25,0,73.50303,0,36.5891,109.5249
52,15,10,0,0,5,0,73.47045,5521,37.576,72.592
4470,5,10,0,0,50,0,72.6468,9520,44.5259,-109.9704
6239,15,20,0,22,1,1,72.56652,1171633,26.9226,107.3407
6558,15,20,1,0,1,0,72.56432,1171633,26.9226,107.3407
3768,15,10,0,0,0,0,72.22765,0,30.081,101.0106
5736,15,10,0,0,0,0,72.06392,198239,2.8961,112.0786
3769,5,10,0,0,25,1,72.0353,0,30.0315,101.0144
3772,25,10,2,0,25,1,72.0353,0,30.0315,101.0144
5812,15,10,0,0,5,0,71.98423,228212,3.8355,113.7131
5456,25,20,0,0,50,1,71.4959,1347,48.5035,-120.7111
163,15,20,2,0,15,0,70.98718,126938,21.5332,94.4332
1051,15,10,0,0,50,1,70.89317,90894,26.026,97.3715
6238,15,70,0,2,50,0,70.84611,0,36.5419,109.4662
5590,15,0,0,0,1,0,70.82902,9577,43.7495,-109.9673
5058,15,10,2,0,5,1,70.56602,0,36.5851,109.4875
5093,5,20,0,0,10,-1,70.56602,0,36.5851,109.4875
1063,35,10,0,0,5,-1,70.25508,1347,48.5608,-120.7708
5310,25,10,0,0,50,1,69.96192,1347,48.5473,-120.7645
5311,25,10,0,0,50,1,69.96192,1347,48.5473,-120.7645
3708,15,10,0,0,0,0,69.92219,37475,34.1491,76.826
4457,15,20,0,0,1,0,68.59272,1706,50.0804,-116.8792
5416,25,10,0,0,1,0,68.54951,4348,45.794,-114.7613
687,15,10,1,0,50,1,68.34443,2100,35.8975,75.52
698,15,20,1,0,50,-1,67.58127,1270,38.9749,-110.15
2856,5,10,0,0,5,0,67.49967,7312,46.3611,-61.0752
2592,15,10,0,0,25,0,67.47257,47778,-0.936,122.1815
2024,15,10,0,0,15,1,67.34588,351936,25.9612,105.3409
5326,15,10,0,0,0,0,67.11064,401,47.6816,-109.7873
4313,15,10,0,0,50,0,66.76148,14927,28.4659,95.86
3871,15,10,0,0,0,0,66.45854,0,-4.193,138.1165
3314,15,10,0,0,10,-1,66.13596,2564,-21.1278,148.4224
6148,5,20,0,0,0,-1,66.07162,9520,44.4686,-109.8833
5998,5,20,0,0,5,-1,65.92069,5571,46.3428,-61.0951
6740,15,10,7,0,5,0,65.77335,19294,5.6249,117.1589
4392,15,10,0,0,10,0,65.47485,0,29.2409,95.9761
4119,15,0,0,0,15,0,65.29943,570407,1.0571,110.6565
188,15,20,0,0,5,-1,64.74594,9520,44.4659,-109.8662
4750,15,20,0,0,5,0,64.02724,56859,-32.8224,-69.9146
6526,15,100,1,0,15,0,63.81999,0,28.3466,85.0058
316,45,0,0,0,50,0,63.81953,10442,-44.7493,167.9581
3925,15,10,20,0,50,0,63.47818,7121,27.4888,93.0153
3934,15,10,0,0,5,0,62.86592,9073,28.272,83.7405
1930,15,10,1,0,50,0,62.40501,14927,28.4298,95.8776
4964,5,10,1,0,5,0,62.26908,9813,50.0023,-116.9044
6051,15,60,2,0,10,0,61.88623,9073,29.5442,81.6254
4027,15,10,1,0,5,0,61.80149,198239,2.5248,112.3254
1020,5,20,0,0,0,0,61.75306,48901,-5.0804,-45.601
664,15,10,0,0,0,0,61.58495,282431,-1.437,119.9833
4965,5,10,0,0,1,0,61.46874,1706,50.146,-116.9567
5096,15,10,0,0,5,-1,61.30122,75996,-40.1119,176.257
71,15,20,0,0,50,0,61.21328,14596,-17.56,178.25
2919,5,10,0,0,10,0,61.01695,23416,29.7415,81.2467
1084,15,10,0,0,5,0,60.8421,7121,27.7,92.8
